RUBRIEK;INVENTARISNUMMER;SERIENUMMER;TITLE;WRITER;AANTAL SCANS;STATUS
8;173;KLAF00792;173_KLAF00792;JAN FRANSSEN BRUIJNINGH;110;GT
20;494;A26620;494_A26620;JACOB JANSZ WESTFRISIUS;284;GT
20;509;A21956;509_A21956;JACOB JANSZ WESTFRISIUS;282;GT
48;1165;A14251;1165_A14251;JOOST VAN DE VEN;285;GT
49;1183;NOTG00415;1183_NOTG00415;JAN DE VOS;134;GT
54;1278;A31203;1278_A31203;HENDRIK SCHAEF;212;HTR
54;1279;A30746;1279_A30746;HENDRIK SCHAEF;87;GT
54;1280;A30768;1280_A30768;HENDRIK SCHAEF;199;GT
54;1281;A30761;1281_A30761;HENDRIK SCHAEF;76;GT
54;1282;A30772;1282_A30772;HENDRIK SCHAEF;90;GT
54;1283;A20362;1283_A20362;HENDRIK SCHAEF;142;GT
54;1284;A30708;1284_A30708;HENDRIK SCHAEF;96;GT
54;1285;KLAB05520;1285_KLAB05520;HENDRIK SCHAEF;190;GT
54;1286;KLAB05528;1286_KLAB05528;HENDRIK SCHAEF;50;GT
54;1287;KLAB05564;1287_KLAB05564;HENDRIK SCHAEF;195;HTR
54;1288;KLAB05555;1288_KLAB05555;HENDRIK SCHAEF;72;HTR
54;1289;KLAB05562;1289_KLAB05562;HENDRIK SCHAEF;202;HTR
54;1290;KLAB04784;1290_KLAB04784;HENDRIK SCHAEF;69;HTR
54;1291;KLAB04820;1291_KLAB04820;HENDRIK SCHAEF;210;HTR
54;1292;KLAB04762;1292_KLAB04762;HENDRIK SCHAEF;52;GT
54;1293;KLAB04781;1293_KLAB04781;HENDRIK SCHAEF;241;HTR
54;1294;A26669;1294_A26669;HENDRIK SCHAEF;230;HTR
54;1295;KLAC01164;1295_KLAC01164;HENDRIK SCHAEF;247;HTR
54;1296;KLAB03099;1296_KLAB03099;HENDRIK SCHAEF;247;HTR
54;1297;A30998;1297_A30998;HENDRIK SCHAEF;59;HTR
54;1298;KLAC01212;1298_KLAC01212;HENDRIK SCHAEF;238;HTR
54;1299;KLAC01194;1299_KLAC01194;HENDRIK SCHAEF;55;HTR
54;1300;KLAD01885;1300_KLAD01885;HENDRIK SCHAEF;272;HTR
54;1301;KLAD01840;1301_KLAD01840;HENDRIK SCHAEF;254;HTR
54;1302;KLAD01900;1302_KLAD01900;HENDRIK SCHAEF;55;GT
54;1303;KLAD01899;1303_KLAD01899;HENDRIK SCHAEF;286;HTR
54;1304;KLAD01887;1304_KLAD01887;HENDRIK SCHAEF;297;HTR
54;1305;KLAD01893;1305_KLAD01893;HENDRIK SCHAEF;149;HTR
54;1306;A32698;1306_A32698;HENDRIK SCHAEF;269;HTR
54;1307;KLAD01877;1307_KLAD01877;HENDRIK SCHAEF;148;HTR
54;1308;A24966;1308_A24966;HENDRIK SCHAEF;125;HTR
54;1309;A20373;1309_A20373;HENDRIK SCHAEF;52;HTR
54;1310;A23644;1310_A23644;HENDRIK SCHAEF;326;HTR
54;1311;NOTG00054;1311_NOTG00054;HENDRIK SCHAEF;432;HTR
54;1312;A23645;1312_A23645;HENDRIK SCHAEF;370;HTR
54;1313;A23646;1313_A23646;HENDRIK SCHAEF;243;HTR
54;1314;A23647;1314_A23647;HENDRIK SCHAEF;253;HTR
54;1315;A23648;1315_A23648;HENDRIK SCHAEF;156;HTR
54;1316;A23649;1316_A23649;HENDRIK SCHAEF;108;HTR
54;1317;A23650;1317_A23650;HENDRIK SCHAEF;249;HTR
54;1318;A23651;1318_A23651;HENDRIK SCHAEF;197;HTR
54;1319;A23652;1319_A23652;HENDRIK SCHAEF;179;HTR
54;1320;A23653;1320_A23653;HENDRIK SCHAEF;222;HTR
54;1321;A23654;1321_A23654;HENDRIK SCHAEF;199;HTR
54;1322;A23655;1322_A23655;HENDRIK SCHAEF;229;HTR
54;1323;A23656;1323_A23656;HENDRIK SCHAEF;239;HTR
54;1324;A23657;1324_A23657;HENDRIK SCHAEF;124;HTR
54;1325;A23658;1325_A23658;HENDRIK SCHAEF;242;HTR
54;1326;A23659;1326_A23659;HENDRIK SCHAEF;88;HTR
54;1327;A23660;1327_A23660;HENDRIK SCHAEF;66;HTR
54;1328;A23661;1328_A23661;HENDRIK SCHAEF;46;HTR
54;1329;A20015;1329_A20015;HENDRIK SCHAEF;147;HTR
54;1330;KLAG03343;1330_KLAG03343;HENDRIK SCHAEF;135;HTR
54;1331;KLAD01971;1331_KLAD01971;HENDRIK SCHAEF;60;HTR
54;1332;A33628;1332_A33628;HENDRIK SCHAEF;157;HTR
54;1333;A16607;1333_A16607;HENDRIK SCHAEF;92;HTR
54;1334;A16608;1334_A16608;HENDRIK SCHAEF;75;HTR
54;1335;A16128;1335_A16128;HENDRIK SCHAEF;121;HTR
54;1336;A33621;1336_A33621;HENDRIK SCHAEF;100;HTR
54;1337;A33642;1337_A33642;HENDRIK SCHAEF;104;HTR
54;1338;KLAD02241;1338_KLAD02241;HENDRIK SCHAEF;103;HTR
54;1339;KLAD02233;1339_KLAD02233;HENDRIK SCHAEF;123;HTR
54;1340;KLAD02222;1340_KLAD02222;HENDRIK SCHAEF;117;HTR
54;1341;A33641;1341_A33641;HENDRIK SCHAEF;92;HTR
54;1342;KLAD02194;1342_KLAD02194;HENDRIK SCHAEF;107;HTR
54;1343;KLAD02179;1343_KLAD02179;HENDRIK SCHAEF;106;HTR
54;1344;KLAG05131;1344_KLAG05131;HENDRIK SCHAEF;32;HTR
54;1345;KLAD01958;1345_KLAD01958;HENDRIK SCHAEF;121;HTR
54;1346;A16039;1346_A16039;HENDRIK SCHAEF;107;HTR
54;1347;KLAD01984;1347_KLAD01984;HENDRIK SCHAEF;110;HTR
54;1348;KLAD01959;1348_KLAD01959;HENDRIK SCHAEF;37;HTR
54;1349;KLAD01982;1349_KLAD01982;HENDRIK SCHAEF;104;HTR
54;1350;KLAG05101;1350_KLAG05101;HENDRIK SCHAEF;31;HTR
54;1351;KLAD01930;1351_KLAD01930;HENDRIK SCHAEF;76;HTR
54;1352;A20014;1352_A20014;HENDRIK SCHAEF;103;HTR
54;1353;KLAD01960;1353_KLAD01960;HENDRIK SCHAEF;90;HTR
54;1354;KLAD01983;1354_KLAD01983;HENDRIK SCHAEF;98;HTR
54;1355;A32419;1355_A32419;HENDRIK SCHAEF;142;HTR
54;1356;A32406;1356_A32406;HENDRIK SCHAEF;73;HTR
54;1357;A32396;1357_A32396;HENDRIK SCHAEF;143;HTR
54;1358;A33853;1358_A33853;HENDRIK SCHAEF;148;HTR
54;1359;A16581;1359_A16581;HENDRIK SCHAEF;144;HTR
54;1360;A26673;1360_A26673;HENDRIK SCHAEF;140;HTR
54;1361;A24963;1361_A24963;HENDRIK SCHAEF;147;HTR
54;1362;A26736;1362_A26736;HENDRIK SCHAEF;143;HTR
54;1363;A26720;1363_A26720;HENDRIK SCHAEF;143;HTR
54;1364;A33864;1364_A33864;HENDRIK SCHAEF;141;HTR
54;1365;A33852;1365_A33852;HENDRIK SCHAEF;63;HTR
54;1366;A30981;1366_A30981;HENDRIK SCHAEF;144;HTR
54;1367;KLAD01936;1367_KLAD01936;HENDRIK SCHAEF;128;HTR
54;1368;KLAD01978;1368_KLAD01978;HENDRIK SCHAEF;144;HTR
54;1369;A25702;1369_A25702;HENDRIK SCHAEF;142;HTR
54;1370;KLAD01948;1370_KLAD01948;HENDRIK SCHAEF;61;HTR
54;1371;KLAD01928;1371_KLAD01928;HENDRIK SCHAEF;141;HTR
54;1372;KLAD01927;1372_KLAD01927;HENDRIK SCHAEF;48;HTR
54;1374;KLAD02350;1374_KLAD02350;HENDRIK SCHAEF;105;HTR
54;1375;KLAD01555;1375_KLAD01555;HENDRIK SCHAEF;87;HTR
54;1376;KLAD01549;1376_KLAD01549;HENDRIK SCHAEF;75;HTR
54;1377;A20429;1377_A20429;HENDRIK SCHAEF;144;HTR
54;1378;A30705;1378_A30705;HENDRIK SCHAEF;119;HTR
54;1379;KLAD01539;1379_KLAD01539;HENDRIK SCHAEF;59;HTR
54;1380;KLAD01532;1380_KLAD01532;HENDRIK SCHAEF;85;HTR
54;1381;KLAD01557;1381_KLAD01557;HENDRIK SCHAEF;103;HTR
54;1382;A16415;1382_A16415;HENDRIK SCHAEF;70;HTR
54;1383;KLAD01545;1383_KLAD01545;HENDRIK SCHAEF;90;HTR
54;1384;A23539;1384_A23539;HENDRIK SCHAEF;123;HTR
54;1385;KLAD02331;1385_KLAD02331;HENDRIK SCHAEF;103;HTR
54;1386;KLAD02349;1386_KLAD02349;HENDRIK SCHAEF;95;HTR
54;1387;A31025;1387_A31025;HENDRIK SCHAEF;104;HTR
54;1388;KLAD02306;1388_KLAD02306;HENDRIK SCHAEF;94;HTR
54;1389;KLAD03198;1389_KLAD03198;HENDRIK SCHAEF;136;HTR
54;1390;KLAD03197;1390_KLAD03197;HENDRIK SCHAEF;101;HTR
54;1391;KLAD03196;1391_KLAD03196;HENDRIK SCHAEF;85;HTR
54;1392;KLAD03195;1392_KLAD03195;HENDRIK SCHAEF;124;HTR
54;1393;KLAD03194;1393_KLAD03194;HENDRIK SCHAEF;134;HTR
54;1394;KLAD03363;1394_KLAD03363;HENDRIK SCHAEF;77;HTR
54;1395;KLAD03391;1395_KLAD03391;HENDRIK SCHAEF;97;HTR
54;1396;KLAD03375;1396_KLAD03375;HENDRIK SCHAEF;98;HTR
54;1397;KLAD03352;1397_KLAD03352;HENDRIK SCHAEF;86;HTR
54;1398;KLAD03522;1398_KLAD03522;HENDRIK SCHAEF;102;HTR
54;1399;NOTD00099;1399_NOTD00099;HENDRIK SCHAEF;98;HTR
54;1400;NOTD00100;1400_NOTD00100;HENDRIK SCHAEF;65;HTR
54;1401;A31068;1401_A31068;HENDRIK SCHAEF;95;HTR
54;1402;KLAG05092;1402_KLAG05092;HENDRIK SCHAEF;43;HTR
54;1403;NOTD00101;1403_NOTD00101;HENDRIK SCHAEF;119;HTR
54;1404;NOTD00102;1404_NOTD00102;HENDRIK SCHAEF;29;HTR
54;1405;NOTD00103;1405_NOTD00103;HENDRIK SCHAEF;90;HTR
54;1406;NOTD00104;1406_NOTD00104;HENDRIK SCHAEF;71;HTR
57;1496;NOTJ01398;1496_NOTJ01398;GILLES BORSSELAER;83;GT
98;2278;A16097;2278_A16097;JACOB DE WINTER;229;HTR
98;2279;A20009;2279_A20009;JACOB DE WINTER;244;HTR
98;2280;A16099;2280_A16099;JACOB DE WINTER;286;HTR
